F60,x,y,RA,DEC,F100,x1,y1,RA1,DEC1
22.83271027,15,12,3.746075577,-39.2219886,33.08581924,15,12,3.746075577,-39.2219886
22.83271027,16,12,3.720259225,-39.22197436,33.08581924,16,12,3.720259225,-39.22197436
13.97427559,17,12,3.694442904,-39.22195441,27.54753113,17,12,3.694442904,-39.22195441
4.692935944,18,12,3.668626626,-39.22192877,16.99378586,18,12,3.668626626,-39.22192877
5.062899113,19,12,3.6428104,-39.22189743,5.881138325,19,12,3.6428104,-39.22189743
1.299994469,20,12,3.616994236,-39.22186039,4.224972248,20,12,3.616994236,-39.22186039
2.297363758,21,12,3.591178146,-39.22181766,7.911994457,21,12,3.591178146,-39.22181766
1.966571927,22,12,3.56536214,-39.22176922,4.378906727,22,12,3.56536214,-39.22176922
1.278393269,23,12,3.539546228,-39.22171509,2.651767969,23,12,3.539546228,-39.22171509
0.7029934525,24,12,3.513730422,-39.22165526,2.041092873,24,12,3.513730422,-39.22165526
0.6793058515,25,12,3.48791473,-39.22158973,1.66057837,25,12,3.48791473,-39.22158973
0.7313526273,1,11,4.107590187,-39.24158943,2.55206418,1,11,4.107590187,-39.24158943
0.7313526273,2,11,4.081767142,-39.24165501,2.55206418,2,11,4.081767142,-39.24165501
1.447062016,3,11,4.055943981,-39.24171488,3.349632978,3,11,4.055943981,-39.24171488
3.435053587,4,11,4.030120715,-39.24176905,5.747276783,4,11,4.030120715,-39.24176905
3.976889849,5,11,4.004297355,-39.24181752,8.691192627,5,11,4.004297355,-39.24181752
4.566572189,6,11,3.978473911,-39.24186029,10.72237396,6,11,3.978473911,-39.24186029
4.566572189,7,11,3.952650393,-39.24189735,10.72237396,7,11,3.952650393,-39.24189735
5.252513409,8,11,3.926826813,-39.24192871,11.36447144,8,11,3.926826813,-39.24192871
5.137891769,9,11,3.90100318,-39.24195437,11.87880707,9,11,3.90100318,-39.24195437
4.359682083,10,11,3.875179505,-39.24197433,12.36971378,10,11,3.875179505,-39.24197433
5.017201424,11,11,3.849355799,-39.24198859,12.36718941,11,11,3.849355799,-39.24198859
5.017201424,12,11,3.823532071,-39.24199714,12.36718941,12,11,3.823532071,-39.24199714
4.350145817,13,11,3.797708333,-39.24199999,13.71121788,13,11,3.797708333,-39.24199999
16.115942,14,11,3.771884595,-39.24199714,31.93718529,14,11,3.771884595,-39.24199714
22.83271027,15,11,3.746060868,-39.24198859,33.08581924,15,11,3.746060868,-39.24198859
13.97427559,16,11,3.720237162,-39.24197433,27.54753113,16,11,3.720237162,-39.24197433
13.97427559,17,11,3.694413487,-39.24195437,27.54753113,17,11,3.694413487,-39.24195437
4.692935944,18,11,3.668589854,-39.24192871,16.99378586,18,11,3.668589854,-39.24192871
5.062899113,19,11,3.642766273,-39.24189735,5.881138325,19,11,3.642766273,-39.24189735
1.299994469,20,11,3.616942756,-39.24186029,4.224972248,20,11,3.616942756,-39.24186029
1.024949789,21,11,3.591119312,-39.24181752,2.814997435,21,11,3.591119312,-39.24181752
1.024949789,22,11,3.565295952,-39.24176905,2.814997435,22,11,3.565295952,-39.24176905
0.890756011,23,11,3.539472686,-39.24171488,2.135580063,23,11,3.539472686,-39.24171488
0.6618353128,24,11,3.513649525,-39.24165501,1.66693759,24,11,3.513649525,-39.24165501
0.5748864412,25,11,3.48782648,-39.24158943,1.64030087,25,11,3.48782648,-39.24158943
0.9046319127,1,10,4.107678488,-39.26158912,2.359358072,1,10,4.107678488,-39.26158912
0.9046319127,2,10,4.081848084,-39.26165475,2.359358072,2,10,4.081848084,-39.26165475
1.691546559,3,10,4.056017565,-39.26171466,4.437469006,3,10,4.056017565,-39.26171466
3.157356739,4,10,4.030186941,-39.26176887,6.684792042,4,10,4.030186941,-39.26176887
3.596491098,5,10,4.004356223,-39.26181737,8.497066498,5,10,4.004356223,-39.26181737
4.109264851,6,10,3.97852542,-39.26186017,9.326075554,6,10,3.97852542,-39.26186017
4.566572189,7,10,3.952694545,-39.26189726,10.72237396,7,10,3.952694545,-39.26189726
5.252513409,8,10,3.926863606,-39.26192865,11.36447144,8,10,3.926863606,-39.26192865
5.137891769,9,10,3.901032614,-39.26195433,11.87880707,9,10,3.901032614,-39.26195433
4.359682083,10,10,3.875201581,-39.2619743,12.36971378,10,10,3.875201581,-39.2619743
5.017201424,11,10,3.849370516,-39.26198857,12.36718941,11,10,3.849370516,-39.26198857
5.017201424,12,10,3.82353943,-39.26199712,12.36718941,12,10,3.82353943,-39.26199712
4.350145817,13,10,3.797708333,-39.26199998,13.71121788,13,10,3.797708333,-39.26199998
8.14781189,14,10,3.771877237,-39.26199712,19.83189774,14,10,3.771877237,-39.26199712
6.953652382,15,10,3.746046151,-39.26198857,17.73779869,15,10,3.746046151,-39.26198857
5.141560555,16,10,3.720215086,-39.2619743,9.876479149,16,10,3.720215086,-39.2619743
5.141560555,17,10,3.694384053,-39.26195433,9.876479149,17,10,3.694384053,-39.26195433
2.233378649,18,10,3.668553061,-39.26192865,6.464799404,18,10,3.668553061,-39.26192865
0.8479498625,19,10,3.642722122,-39.26189726,3.767285109,19,10,3.642722122,-39.26189726
0.9070917964,20,10,3.616891246,-39.26186017,2.691524982,20,10,3.616891246,-39.26186017
0.8125240803,21,10,3.591060444,-39.26181737,2.03330183,21,10,3.591060444,-39.26181737
0.8125240803,22,10,3.565229725,-39.26176887,2.03330183,22,10,3.565229725,-39.26176887
0.6371392608,23,10,3.539399101,-39.26171466,1.802641511,23,10,3.539399101,-39.26171466
0.5701583624,24,10,3.513568582,-39.26165475,1.616850734,24,10,3.513568582,-39.26165475
0.5148997307,25,10,3.487738179,-39.26158912,1.507968903,25,10,3.487738179,-39.26158912
0.9046319127,1,9,4.107766839,-39.2815888,2.359358072,1,9,4.107766839,-39.2815888
0.9046319127,2,9,4.081929073,-39.28165447,2.359358072,2,9,4.081929073,-39.28165447
1.691546559,3,9,4.056091192,-39.28171443,4.437469006,3,9,4.056091192,-39.28171443
