MAIN_ID,ANG_DIST,OTYPE,RA,,,,DEC,,,,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,RA_d,DEC_d,PMRA,PMDEC,PMRA_PREC,PMDEC_PREC,PM_ERR_MAJA,PM_ERR_MINA,PM_ERR_ANGLE,PM_QUAL,PM_BIBCODE,FILTER_NAME_B,FLUX_B,FLUX_ERROR_B,FLUX_SYSTEM_B,FLUX_BIBCODE_B,FLUX_VAR_B,FLUX_MULT_B,FLUX_QUAL_B,FLUX_UNIT_B,FILTER_NAME_V,FLUX_V,FLUX_ERROR_V,FLUX_SYSTEM_V,FLUX_BIBCODE_V,FLUX_VAR_V,FLUX_MULT_V,FLUX_QUAL_V,FLUX_UNIT_V,FILTER_NAME_R,FLUX_R,FLUX_ERROR_R,FLUX_SYSTEM_R,FLUX_BIBCODE_R,FLUX_VAR_R,FLUX_MULT_R,FLUX_QUAL_R,FLUX_UNIT_R,FILTER_NAME_J,FLUX_J,FLUX_ERROR_J,FLUX_SYSTEM_J,FLUX_BIBCODE_J,FLUX_VAR_J,FLUX_MULT_J,FLUX_QUAL_J,FLUX_UNIT_J,FILTER_NAME_H,FLUX_H,FLUX_ERROR_H,FLUX_SYSTEM_H,FLUX_BIBCODE_H,FLUX_VAR_H,FLUX_MULT_H,FLUX_QUAL_H,FLUX_UNIT_H,FILTER_NAME_K,FLUX_K,FLUX_ERROR_K,FLUX_SYSTEM_K,FLUX_BIBCODE_K,FLUX_VAR_K,FLUX_MULT_K,FLUX_QUAL_K,FLUX_UNIT_K,RVZ_TYPE,RVZ_RADVEL,RVZ_ERROR,RVZ_QUAL,RVZ_WAVELENGTH,RVZ_BIBCODE,SP_TYPE,SP_QUAL,SP_BIBCODE,MORPH_TYPE,MORPH_QUAL,MORPH_BIBCODE,GALDIM_MAJAXIS,GALDIM_MINAXIS,GALDIM_ANGLE,GALDIM_QUAL,GALDIM_WAVELENGTH,GALDIM_BIBCODE,BIBLIST
[PGS2006] cep012,34.84,Cepheid,3.812208333,0,15,14.93,-38.78541667,-39,12,52.5,6,6,,,,D,I,2008ApJ...672..266G,3.81221,-39.21458,,,,,,,,,,,,,,,,,,,V,20.834,,Vega,2006AJ....132.2556P,,,D,V,,,,,,,,,,J,18.954,0.036,Vega,2008ApJ...672..266G,V,,D,J,,,,,,,,,,K,18.395,0.037,Vega,2008ApJ...672..266G,V,,D,K,,,,,,,,,,,,,,,,,,,2
[BWE2015] NGC   55 123,35.53,LMXB,3.809275,0,15,14.226,-38.77760278,-39,13,20.63,7,7,,,,D,X,2015AJ....150...94B,3.809273,-39.222397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
[CHG2008] C1-51,35.82,Star,3.81125,0,15,14.7,-38.78488889,-39,12,54.4,6,6,,,,D,O,2008A&A...485...41C,3.81125,-39.21511,,,,,,,,,,,,,,,,,,,V,18.306,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,187,,D,O,2008A&A...485...41C,Ofpe/WN9,D,2008A&A...485...41C,,,,,,,,,,1
[CHG2008] C2-54,36.16,Star,3.80975,0,15,14.34,-38.77561111,-39,13,27.8,6,6,,,,D,O,2008A&A...485...41C,3.80975,-39.22439,,,,,,,,,,,,,,,,,,,V,19.435,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,223,,D,O,2008A&A...485...41C,B9I,D,2008A&A...485...41C,,,,,,,,,,2
[CHG2008] C1-53,37.04,Star,3.811,0,15,14.64,-38.7733,-39,13,36.12,7,7,,,,D,,2008A&A...485...41C,3.811,-39.2267,,,,,,,,,,,,,,,,,,,V,19.816,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,164,,D,O,2008A&A...485...41C,B2.5I,C,2008A&A...485...41C,,,,,,,,,,3
[CHG2008] C2-53,40.46,Star,3.807833333,0,15,13.88,-38.78219444,-39,13,4.1,6,6,,,,D,O,2008A&A...485...41C,3.80783,-39.21781,,,,,,,,,,,,,,,,,,,V,18.737,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,189,,D,O,2008A&A...485...41C,F5I,D,2008A&A...485...41C,,,,,,,,,,1
[JW2016] T10,42.53,X,3.80725,0,15,13.74,-38.7758,-39,13,27.12,7,7,,,,D,X,2016ApJ...821...24J,3.80725,-39.2242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[CHG2008] B-15,42.53,Star,3.837041667,0,15,20.89,-38.77838889,-39,13,17.8,6,6,,,,D,O,2008A&A...485...41C,3.83704,-39.22161,,,,,,,,,,,,,,,,,,,V,20.308,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,217,,D,O,2008A&A...485...41C,A3I,D,2008A&A...485...41C,,,,,,,,,,1
[VJP2006]  8,43.36,PN?,3.819583333,0,15,16.7,-38.76733333,-39,13,57.6,6,6,,,,D,,2006A&A...455..891V,3.81958,-39.23267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[CHG2008] B-8,46.18,Star,3.80825,0,15,13.98,-38.78658333,-39,12,48.3,6,6,,,,D,O,2008A&A...485...41C,3.80825,-39.21342,,,,,,,,,,,,,,,,,,,V,15.874,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,367,,D,O,2008A&A...485...41C,O9If,D,2008A&A...485...41C,,,,,,,,,,1
[PGS2006] cep072,47.53,Cepheid,3.827208333,0,15,18.53,-38.79177778,-39,12,29.6,6,6,,,,D,I,2008ApJ...672..266G,3.82721,-39.20822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,20.078,0.046,Vega,2008ApJ...672..266G,V,,D,J,,,,,,,,,,K,19.423,0.045,Vega,2008ApJ...672..266G,V,,D,K,,,,,,,,,,,,,,,,,,,2
