MAIN_ID,ANG_DIST,OTYPE,RA,,,,DEC,,,,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,RA_d,DEC_d,PMRA,PMDEC,PMRA_PREC,PMDEC_PREC,PM_ERR_MAJA,PM_ERR_MINA,PM_ERR_ANGLE,PM_QUAL,PM_BIBCODE,FILTER_NAME_B,FLUX_B,FLUX_ERROR_B,FLUX_SYSTEM_B,FLUX_BIBCODE_B,FLUX_VAR_B,FLUX_MULT_B,FLUX_QUAL_B,FLUX_UNIT_B,FILTER_NAME_V,FLUX_V,FLUX_ERROR_V,FLUX_SYSTEM_V,FLUX_BIBCODE_V,FLUX_VAR_V,FLUX_MULT_V,FLUX_QUAL_V,FLUX_UNIT_V,FILTER_NAME_R,FLUX_R,FLUX_ERROR_R,FLUX_SYSTEM_R,FLUX_BIBCODE_R,FLUX_VAR_R,FLUX_MULT_R,FLUX_QUAL_R,FLUX_UNIT_R,FILTER_NAME_J,FLUX_J,FLUX_ERROR_J,FLUX_SYSTEM_J,FLUX_BIBCODE_J,FLUX_VAR_J,FLUX_MULT_J,FLUX_QUAL_J,FLUX_UNIT_J,FILTER_NAME_H,FLUX_H,FLUX_ERROR_H,FLUX_SYSTEM_H,FLUX_BIBCODE_H,FLUX_VAR_H,FLUX_MULT_H,FLUX_QUAL_H,FLUX_UNIT_H,FILTER_NAME_K,FLUX_K,FLUX_ERROR_K,FLUX_SYSTEM_K,FLUX_BIBCODE_K,FLUX_VAR_K,FLUX_MULT_K,FLUX_QUAL_K,FLUX_UNIT_K,RVZ_TYPE,RVZ_RADVEL,RVZ_ERROR,RVZ_QUAL,RVZ_WAVELENGTH,RVZ_BIBCODE,SP_TYPE,SP_QUAL,SP_BIBCODE,MORPH_TYPE,MORPH_QUAL,MORPH_BIBCODE,GALDIM_MAJAXIS,GALDIM_MINAXIS,GALDIM_ANGLE,GALDIM_QUAL,GALDIM_WAVELENGTH,GALDIM_BIBCODE,BIBLIST
[CHG2008] C1-30,210.98,Star,3.749625,0,14,59.91,-38.79669444,-39,12,11.9,6,6,,,,D,O,2008A&A...485...41C,3.74962,-39.20331,,,,,,,,,,,,,,,,,,,V,18.921,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,158,,D,O,2008A&A...485...41C,,,,,,,,,,,,,1
[BWE2015] NGC   55 149,211.02,X,3.794416667,0,15,10.66,-38.72461389,-39,16,31.39,7,7,,,,D,X,2015AJ....150...94B,3.794417,-39.275387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[BWE2015] NGC   55   1,211.75,AGN,3.7645875,0,15,3.501,-38.7406,-39,15,33.84,7,7,,,,D,X,2015AJ....150...94B,3.764587,-39.259401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[VJP2006] 12,212.35,PN?,3.895375,0,15,34.89,-38.7945,-39,12,19.8,6,6,,,,D,,2006A&A...455..891V,3.89537,-39.2055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[PGS2006] cep041,215.02,Cepheid,3.74525,0,14,58.86,-38.78611111,-39,12,50,6,6,,,,D,O,2006AJ....132.2556P,3.74525,-39.21389,,,,,,,,,,,,,,,,,,,V,21.029,,Vega,2006AJ....132.2556P,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[PGS2006] cep042,215.1,Cepheid,3.89125,0,15,33.9,-38.75319444,-39,14,48.5,6,6,,,,D,O,2006AJ....132.2556P,3.89125,-39.24681,,,,,,,,,,,,,,,,,,,V,20.976,,Vega,2006AJ....132.2556P,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[CHG2008] C2-34,216.1,Star,3.744708333,0,14,58.73,-38.785,-39,12,54,6,6,,,,D,O,2008A&A...485...41C,3.74471,-39.215,,,,,,,,,,,,,,,,,,,V,19.062,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,210,,D,O,2008A&A...485...41C,A3III,D,2008A&A...485...41C,,,,,,,,,,1
[PGS2006] cep094,217.61,Cepheid,3.879708333,0,15,31.13,-38.73869444,-39,15,40.7,6,6,,,,D,O,2006AJ....132.2556P,3.87971,-39.26131,,,,,,,,,,,,,,,,,,,V,21.77,,Vega,2006AJ....132.2556P,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[PGS2006] cep038,218.67,Cepheid,3.748875,0,14,59.73,-38.80147222,-39,11,54.7,6,6,,,,D,O,2006AJ....132.2556P,3.74888,-39.19853,,,,,,,,,,,,,,,,,,,V,21.746,,Vega,2006AJ....132.2556P,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[CHG2008] C1-32,220.02,Star,3.744125,0,14,58.59,-38.76869444,-39,13,52.7,6,6,,,,D,O,2008A&A...485...41C,3.74412,-39.23131,,,,,,,,,,,,,,,,,,,V,17.122,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,161,,D,O,2008A&A...485...41C,B9I,D,2008A&A...485...41C,,,,,,,,,,2
[CHG2008] C2-33,220.71,Star,3.74375,0,14,58.5,-38.78919444,-39,12,38.9,6,6,,,,D,O,2008A&A...485...41C,3.74375,-39.21081,,,,,,,,,,,,,,,,,,,V,19.645,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,165,,D,O,2008A&A...485...41C,O5III,D,2008A&A...485...41C,,,,,,,,,,1
[BWE2015] NGC   55  95,221.33,AGN,3.849083333,0,15,23.78,-38.83698889,-39,9,46.84,7,7,,,,D,X,2015AJ....150...94B,3.849085,-39.163011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
[CHG2008] B-33,221.82,Star,3.889708333,0,15,33.53,-38.74711111,-39,15,10.4,6,6,,,,D,O,2008A&A...485...41C,3.88971,-39.25289,,,,,,,,,,,,,,,,,,,V,19.125,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,178,,D,O,2008A&A...485...41C,O5If,D,2008A&A...485...41C,,,,,,,,,,1
[PGS2006] cep091,222.25,Cepheid,3.748333333,0,14,59.6,-38.80308333,-39,11,48.9,6,6,,,,D,O,2006AJ....132.2556P,3.74833,-39.19692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[VJP2006] 13,223.59,PN?,3.902,0,15,36.48,-38.77952778,-39,13,13.7,6,6,,,,D,,2006A&A...455..891V,3.902,-39.22047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[CHG2008] C2-32,223.68,Star,3.744541667,0,14,58.69,-38.79580556,-39,12,15.1,6,6,,,,D,O,2008A&A...485...41C,3.74454,-39.20419,,,,,,,,,,,,,,,,,,,V,18.164,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,139,,D,O,2008A&A...485...41C,HII,D,2008A&A...485...41C,,,,,,,,,,1
[CHG2008] C1-29,224.39,Star,3.747458333,0,14,59.39,-38.803,-39,11,49.2,6,6,,,,D,O,2008A&A...485...41C,3.74746,-39.197,,,,,,,,,,,,,,,,,,,V,18.23,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,143,,D,O,2008A&A...485...41C,F8I,D,2008A&A...485...41C,,,,,,,,,,1
LCRS B001304.5-392821,225.3,Galaxy,3.89525,0,15,34.86,-38.80533333,-39,11,40.8,6,6,2500,2500,90,D,,1996ApJ...470..172S,3.89525,-39.19467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[PGS2006] cep124,226.84,Cepheid,3.741625,0,14,57.99,-38.78966667,-39,12,37.2,6,6,,,,D,O,2006AJ....132.2556P,3.74162,-39.21033,,,,,,,,,,,,,,,,,,,V,21.621,,Vega,2006AJ....132.2556P,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[BWE2015] NGC   55 130,227.03,HMXB,3.8915875,0,15,33.981,-38.74672222,-39,15,11.8,7,7,,,,D,X,2015AJ....150...94B,3.891589,-39.253277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
[D2019] c-5,228.26,HII,3.7425,0,14,58.2,-38.79480556,-39,12,18.7,6,6,,,,C,O,2019AJ....158...90D,3.7425,-39.20519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[PGS2006] cep083,230.1,Cepheid,3.744541667,0,14,58.69,-38.80158333,-39,11,54.3,6,6,,,,D,O,2006AJ....132.2556P,3.74454,-39.19842,,,,,,,,,,,,,,,,,,,V,21.926,,Vega,2006AJ....132.2556P,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[D2019] p2-7,231.58,HII,3.742083333,0,14,58.1,-38.79713889,-39,12,10.3,6,6,,,,C,O,2019AJ....158...90D,3.74208,-39.20286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[CHG2008] C2-31,232.25,Star,3.74625,0,14,59.1,-38.80630556,-39,11,37.3,6,6,,,,D,O,2008A&A...485...41C,3.74625,-39.19369,,,,,,,,,,,,,,,,,,,V,18.107,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,123,,D,O,2008A&A...485...41C,F8I,D,2008A&A...485...41C,,,,,,,,,,1
[PGS2006] cep050,232.68,Cepheid,3.893541667,0,15,34.45,-38.74619444,-39,15,13.7,6,6,,,,D,O,2006AJ....132.2556P,3.89354,-39.25381,,,,,,,,,,,,,,,,,,,V,21.234,,Vega,2006AJ....132.2556P,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[CHG2008] C1-28,233.95,Star,3.739291667,0,14,57.43,-38.79080556,-39,12,33.1,6,6,,,,D,O,2008A&A...485...41C,3.73929,-39.20919,,,,,,,,,,,,,,,,,,,V,17.611,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,189,,D,O,2008A&A...485...41C,F5I,D,2008A&A...485...41C,,,,,,,,,,1
[D2019] p8-3,234.49,EmObj,3.741666667,0,14,58,-38.79886111,-39,12,4.1,6,6,,,,C,O,2019AJ....158...90D,3.74167,-39.20114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[BWE2015] NGC   55 152,234.89,AGN,3.7870625,0,15,8.895,-38.71981944,-39,16,48.65,7,7,,,,D,X,2015AJ....150...94B,3.787062,-39.280181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
RX J0014.9-3911,234.91,X,3.742208333,0,14,58.13,-38.8005,-39,11,58.2,6,6,250,230,45,C,I,2003yCat.2246....0C,3.74221,-39.1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,16.724,0.216,Vega,2003yCat.2246....0C,,,D,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
[RPS97] NGC    55  7,235.14,PartofG,3.895125,0,15,34.83,-38.74694444,-39,15,11,6,6,,,,D,,,3.89512,-39.25306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[BWE2015] NGC   55  75,236.44,Candidate_HMXB,3.761445833,0,15,2.747,-38.82533333,-39,10,28.8,7,7,,,,D,X,2015AJ....150...94B,3.761446,-39.174667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
[BWE2015] NGC   55  77,236.61,SNR?,3.7653,0,15,3.672,-38.82824167,-39,10,18.33,7,7,,,,D,X,2015AJ....150...94B,3.7653,-39.171759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[BWE2015] NGC   55 148,236.62,X,3.807095833,0,15,13.703,-38.71452222,-39,17,7.72,7,7,,,,D,X,2015AJ....150...94B,3.807095,-39.285479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[BS2000] NGC 55 48,237.69,GlCl?,3.906125,0,15,37.47,-38.76947222,-39,13,49.9,6,6,,,,D,,2000MNRAS.311..673B,3.90613,-39.23053,,,,,,,,,,B,19.82,,Vega,,,,E,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2XMM J001519.4-390917,237.72,AGN,3.831125,0,15,19.47,-38.84488889,-39,9,18.4,6,6,,,,C,O,2013A&A...557A.123E,3.83112,-39.15511,,,,,,,,,,B,22.03,,Vega,2013A&A...557A.123E,,,E,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,2.01,,D,O,2013A&A...557A.123E,,,,,,,,,,,,,3
[BWE2015] NGC   55  29,237.83,HMXB,3.7365625,0,14,56.775,-38.77851667,-39,13,17.34,7,7,,,,D,X,2015AJ....150...94B,3.736563,-39.221482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
[BWE2015] NGC   55  47,237.96,LMXB,3.738195833,0,14,57.167,-38.79228611,-39,12,27.77,7,7,,,,D,X,2015AJ....150...94B,3.738195,-39.207715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
[BWE2015] NGC   55 136,240.26,AGN,3.868745833,0,15,28.499,-38.72326389,-39,16,36.25,7,7,,,,D,X,2015AJ....150...94B,3.868745,-39.276735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[CHG2008] B-34,240.56,Star,3.907208333,0,15,37.73,-38.76969444,-39,13,49.1,6,6,,,,D,O,2008A&A...485...41C,3.90721,-39.23031,,,,,,,,,,,,,,,,,,,V,19.533,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,216,,D,O,2008A&A...485...41C,WN11,D,2008A&A...485...41C,,,,,,,,,,1
[CHG2008] C1-27,241.5,Star,3.7395,0,14,57.48,-38.8,-39,12,0,6,6,,,,D,O,2008A&A...485...41C,3.7395,-39.2,,,,,,,,,,,,,,,,,,,V,19.274,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,161,,D,O,2008A&A...485...41C,A2I,D,2008A&A...485...41C,,,,,,,,,,1
1RXS J001527.8-390946,241.7,X,3.865833333,0,15,27.8,-38.83708333,-39,9,46.5,6,6,,,,E,,2000IAUC.7432R...1V,3.86583,-39.16292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
[BWE2015] NGC   55 111,244.89,HMXB,3.908341667,0,15,38.002,-38.79086389,-39,12,32.89,7,7,,,,D,X,2015AJ....150...94B,3.908342,-39.209137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
[CHG2008] C2-30,247.1,Star,3.733666667,0,14,56.08,-38.786,-39,12,50.4,6,6,,,,D,O,2008A&A...485...41C,3.73367,-39.214,,,,,,,,,,,,,,,,,,,V,19.48,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,141,,D,O,2008A&A...485...41C,F0-2I,D,2008A&A...485...41C,,,,,,,,,,1
[RPS97] NGC    55  4,248.46,PartofG,3.739166667,0,14,57.4,-38.80494444,-39,11,42.2,6,6,,,,D,,,3.73917,-39.19506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[BWE2015] NGC   55 153,249.26,AGN,3.782095833,0,15,7.703,-38.71722222,-39,16,58,7,7,,,,D,X,2015AJ....150...94B,3.782097,-39.282777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[LA83] NGC 55 42,249.98,Galaxy,3.847041667,0,15,23.29,-38.71261111,-39,17,14.6,6,6,,,,D,,2000MNRAS.311..673B,3.84704,-39.28739,,,,,,,,,,B,20.3,,Vega,,,,E,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,5089,,D,,2000MNRAS.311..673B,,,,,,,,,,,,,1
[CHG2008] C2-29,250.69,Star,3.736458333,0,14,56.75,-38.801,-39,11,56.4,6,6,,,,D,O,2008A&A...485...41C,3.73646,-39.199,,,,,,,,,,,,,,,,,,,V,18.335,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,150,,D,O,2008A&A...485...41C,B8I,D,2008A&A...485...41C,,,,,,,,,,2
[CHG2008] B-32,251.29,Star,3.90875,0,15,38.1,-38.79761111,-39,12,8.6,6,6,,,,D,O,2008A&A...485...41C,3.90875,-39.20239,,,,,,,,,,,,,,,,,,,V,18.438,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,20,,D,O,2008A&A...485...41C,G5V,D,2008A&A...485...41C,,,,,,,,,,1
[CHG2008] C1-26,252.51,Star,3.732333333,0,14,55.76,-38.78980556,-39,12,36.7,6,6,,,,D,O,2008A&A...485...41C,3.73233,-39.21019,,,,,,,,,,,,,,,,,,,V,19.046,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,171,,D,O,2008A&A...485...41C,B8V,D,2008A&A...485...41C,,,,,,,,,,1
[PGS2006] cep029,253.13,Cepheid,3.731083333,0,14,55.46,-38.77811111,-39,13,18.8,6,6,,,,D,O,2006AJ....132.2556P,3.73108,-39.22189,,,,,,,,,,,,,,,,,,,V,20.8,,Vega,2006AJ....132.2556P,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2XMM J001457.0-391138,253.79,LMXB,3.737625,0,14,57.03,-38.80591667,-39,11,38.7,6,6,300,300,90,D,X,2012ApJ...756...27L,3.73761,-39.19409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
[CHG2008] C1-25,253.89,Star,3.733416667,0,14,56.02,-38.796,-39,12,14.4,6,6,,,,D,O,2008A&A...485...41C,3.73342,-39.204,,,,,,,,,,,,,,,,,,,V,17.31,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,92,,D,O,2008A&A...485...41C,F8I,D,2008A&A...485...41C,,,,,,,,,,1
[PGS2006] cep105,255.47,Cepheid,3.913375,0,15,39.21,-38.77669444,-39,13,23.9,6,6,,,,D,O,2006AJ....132.2556P,3.91338,-39.22331,,,,,,,,,,,,,,,,,,,V,22.385,,Vega,2006AJ....132.2556P,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[CHG2008] B-35,255.81,Star,3.903583333,0,15,36.86,-38.747,-39,15,10.8,6,6,,,,D,O,2008A&A...485...41C,3.90358,-39.253,,,,,,,,,,,,,,,,,,,V,20.291,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,236,,D,O,2008A&A...485...41C,B1.5I,D,2008A&A...485...41C,,,,,,,,,,1
[DG82] 2,255.84,GlCl?,3.730416667,0,14,55.3,-38.77333333,-39,13,36,5,5,,,,D,,1982ApJ...261...70D,3.7304,-39.2267,,,,,,,,,,,,,,,,,,,V,17.8,,Vega,,,,E,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[PGS2006] cep084,255.97,Cepheid,3.730458333,0,14,55.31,-38.78588889,-39,12,50.8,6,6,,,,D,O,2006AJ....132.2556P,3.73046,-39.21411,,,,,,,,,,,,,,,,,,,V,21.131,,Vega,2006AJ....132.2556P,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[PGS2006] cep051,257.32,Cepheid,3.90775,0,15,37.86,-38.75316667,-39,14,48.6,6,6,,,,D,O,2006AJ....132.2556P,3.90775,-39.24683,,,,,,,,,,,,,,,,,,,V,22.733,,Vega,2006AJ....132.2556P,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[CHG2008] C2-22,259.96,Star,3.729958333,0,14,55.19,-38.79138889,-39,12,31,6,6,,,,D,O,2008A&A...485...41C,3.72996,-39.20861,,,,,,,,,,,,,,,,,,,V,18.764,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,140,,D,O,2008A&A...485...41C,A2I,D,2008A&A...485...41C,,,,,,,,,,2
[D2019] p4-9,261.81,EmObj,3.731666667,0,14,55.6,-38.79944444,-39,12,2,6,6,,,,C,O,2019AJ....158...90D,3.73167,-39.20056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
IRAS 00131-3931,263.15,FIR,3.9075,0,15,37.8,-38.74888889,-39,15,4,5,5,41000,9000,65,E,F,1988NASAR1190....1B,3.9076,-39.2512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
[BS2000] NGC 55  2,264,GlCl?,3.867375,0,15,28.17,-38.84352778,-39,9,23.3,6,6,,,,D,,2000MNRAS.311..673B,3.86738,-39.15647,,,,,,,,,,B,18.7,,Vega,,,,E,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[BWE2015] NGC   55  26,264.06,HMXB,3.727491667,0,14,54.598,-38.77300278,-39,13,37.19,7,7,,,,D,X,2015AJ....150...94B,3.727492,-39.226997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
[CHG2008] A-1,264.69,Star,3.9105,0,15,38.52,-38.753,-39,14,49.2,6,6,,,,D,O,2008A&A...485...41C,3.9105,-39.247,,,,,,,,,,,,,,,,,,,V,19.099,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,262,,D,O,2008A&A...485...41C,B1I,D,2008A&A...485...41C,,,,,,,,,,1
[PGS2006] cep015,264.9,Cepheid,3.727291667,0,14,54.55,-38.78627778,-39,12,49.4,6,6,,,,D,O,2006AJ....132.2556P,3.72729,-39.21372,,,,,,,,,,,,,,,,,,,V,20.418,,Vega,2006AJ....132.2556P,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[BWE2015] NGC   55  38,266.98,HMXB,3.7267125,0,14,54.411,-38.78753611,-39,12,44.87,7,7,,,,D,X,2015AJ....150...94B,3.726711,-39.212464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
[CHG2008] A-2,267.14,Star,3.911,0,15,38.64,-38.75211111,-39,14,52.4,6,6,,,,D,O,2008A&A...485...41C,3.911,-39.24789,,,,,,,,,,,,,,,,,,,V,19.227,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,253,,D,O,2008A&A...485...41C,B1.5I,D,2008A&A...485...41C,,,,,,,,,,1
[BWE2015] NGC   55  27,267.2,LMXB,3.726229167,0,14,54.295,-38.77439167,-39,13,32.19,7,7,,,,D,X,2015AJ....150...94B,3.726228,-39.225607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
[JW2016] T7,267.39,X,3.728583333,0,14,54.86,-38.76195278,-39,14,16.97,7,7,,,,D,X,2016ApJ...821...24J,3.728583,-39.238047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[PGS2006] cep049,268.9,Cepheid,3.917833333,0,15,40.28,-38.77227778,-39,13,39.8,6,6,,,,D,O,2006AJ....132.2556P,3.91783,-39.22772,,,,,,,,,,,,,,,,,,,V,21.564,,Vega,2006AJ....132.2556P,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[BWE2015] NGC   55 132,270,SNR?,3.898741667,0,15,35.698,-38.733675,-39,15,58.77,7,7,,,,D,X,2015AJ....150...94B,3.898742,-39.266325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
