F12,x,y,RA,DEC,F22,x1,y1,RA1,DEC1
424.3908691,28,28,3.690929521,-39.16059878,127.289978,28,28,3.690929521,-39.16059878
425.0800476,29,28,3.686630553,-39.16059673,127.32547,29,28,3.686630553,-39.16059673
425.3438721,30,28,3.682331584,-39.16059452,127.2445374,30,28,3.682331584,-39.16059452
424.2640991,1,27,3.807004705,-39.16392784,127.105957,1,27,3.807004705,-39.16392784
423.9456177,2,27,3.802705533,-39.16393006,127.2024078,2,27,3.802705533,-39.16393006
424.7409363,3,27,3.798406361,-39.16393211,127.2303848,3,27,3.798406361,-39.16393211
424.1976013,4,27,3.794107187,-39.16393401,127.2634201,4,27,3.794107187,-39.16393401
425.0897217,5,27,3.789808013,-39.16393574,127.2975388,5,27,3.789808013,-39.16393574
424.7698059,6,27,3.785508839,-39.16393732,127.2861099,6,27,3.785508839,-39.16393732
424.6957703,7,27,3.781209664,-39.16393874,127.2627792,7,27,3.781209664,-39.16393874
424.1863098,8,27,3.776910489,-39.16394001,127.2422333,8,27,3.776910489,-39.16394001
425.0186462,9,27,3.772611313,-39.16394111,127.2121582,9,27,3.772611313,-39.16394111
425.0389404,10,27,3.768312138,-39.16394206,127.1884384,10,27,3.768312138,-39.16394206
424.9436951,11,27,3.764012961,-39.16394285,127.2412415,11,27,3.764012961,-39.16394285
424.7557983,12,27,3.759713785,-39.16394348,127.21064,12,27,3.759713785,-39.16394348
425.3076477,13,27,3.755414608,-39.16394396,127.3217468,13,27,3.755414608,-39.16394396
425.0276489,14,27,3.751115432,-39.16394427,127.3298645,14,27,3.751115432,-39.16394427
424.5662231,15,27,3.746816255,-39.16394443,127.2911148,15,27,3.746816255,-39.16394443
425.0843506,16,27,3.742517078,-39.16394443,127.3214264,16,27,3.742517078,-39.16394443
425.0624084,17,27,3.738217902,-39.16394427,127.3605347,17,27,3.738217902,-39.16394427
425.2380981,18,27,3.733918725,-39.16394396,127.324234,18,27,3.733918725,-39.16394396
425.1045227,19,27,3.729619548,-39.16394348,127.3231125,19,27,3.729619548,-39.16394348
425.6222839,20,27,3.725320372,-39.16394285,127.3278046,20,27,3.725320372,-39.16394285
425.7536011,21,27,3.721021196,-39.16394206,127.2735825,21,27,3.721021196,-39.16394206
425.1753845,22,27,3.71672202,-39.16394111,127.3209915,22,27,3.71672202,-39.16394111
424.8344116,23,27,3.712422844,-39.16394001,127.2997589,23,27,3.712422844,-39.16394001
425.4976501,24,27,3.708123669,-39.16393874,127.2392426,24,27,3.708123669,-39.16393874
425.339447,25,27,3.703824494,-39.16393732,127.2640762,25,27,3.703824494,-39.16393732
425.0725098,26,27,3.69952532,-39.16393574,127.3727798,26,27,3.69952532,-39.16393574
424.9258728,27,27,3.695226146,-39.16393401,127.2774429,27,27,3.695226146,-39.16393401
425.0681763,28,27,3.690926973,-39.16393211,127.2770996,28,27,3.690926973,-39.16393211
425.4837341,29,27,3.6866278,-39.16393006,127.2887421,29,27,3.6866278,-39.16393006
425.553009,30,27,3.682328628,-39.16392784,127.2427902,30,27,3.682328628,-39.16392784
425.1376343,1,26,3.807007662,-39.16726117,127.2419891,1,26,3.807007662,-39.16726117
424.2526855,2,26,3.802708286,-39.16726339,127.2854843,2,26,3.802708286,-39.16726339
425.3148499,3,26,3.798408909,-39.16726544,127.2880478,3,26,3.798408909,-39.16726544
424.6521606,4,26,3.794109532,-39.16726734,127.2479706,4,26,3.794109532,-39.16726734
424.4721985,5,26,3.789810154,-39.16726907,127.2653275,5,26,3.789810154,-39.16726907
424.7446594,6,26,3.785510776,-39.16727065,127.2223816,6,26,3.785510776,-39.16727065
424.5232849,7,26,3.781211397,-39.16727208,127.2225189,7,26,3.781211397,-39.16727208
424.728302,8,26,3.776912018,-39.16727334,127.1903534,8,26,3.776912018,-39.16727334
425.5301514,9,26,3.772612639,-39.16727444,127.2807541,9,26,3.772612639,-39.16727444
425.458374,10,26,3.768313259,-39.16727539,127.2439194,10,26,3.768313259,-39.16727539
425.093811,11,26,3.764013879,-39.16727618,127.2031631,11,26,3.764013879,-39.16727618
425.5522156,12,26,3.759714499,-39.16727681,127.2723999,12,26,3.759714499,-39.16727681
426.090332,13,26,3.755415118,-39.16727729,127.3995361,13,26,3.755415118,-39.16727729
425.7989502,14,26,3.751115738,-39.1672776,127.446228,14,26,3.751115738,-39.1672776
425.0409546,15,26,3.746816357,-39.16727776,127.3200531,15,26,3.746816357,-39.16727776
425.7234192,16,26,3.742516976,-39.16727776,127.4307709,16,26,3.742516976,-39.16727776
425.8856201,17,26,3.738217596,-39.1672776,127.3738708,17,26,3.738217596,-39.1672776
425.2113342,18,26,3.733918215,-39.16727729,127.3822556,18,26,3.733918215,-39.16727729
425.254364,19,26,3.729618835,-39.16727681,127.3406677,19,26,3.729618835,-39.16727681
426.1626282,20,26,3.725319454,-39.16727618,127.3900146,20,26,3.725319454,-39.16727618
425.9297791,21,26,3.721020074,-39.16727539,127.3573685,21,26,3.721020074,-39.16727539
425.6642456,22,26,3.716720695,-39.16727444,127.3938141,22,26,3.716720695,-39.16727444
425.3157043,23,26,3.712421315,-39.16727334,127.3458862,23,26,3.712421315,-39.16727334
425.9226685,24,26,3.708121936,-39.16727208,127.3749313,24,26,3.708121936,-39.16727208
426.1376953,25,26,3.703822557,-39.16727065,127.3541565,25,26,3.703822557,-39.16727065
425.7819519,26,26,3.699523179,-39.16726907,127.3796463,26,26,3.699523179,-39.16726907
425.4734192,27,26,3.695223801,-39.16726734,127.339592,27,26,3.695223801,-39.16726734
426.6086426,28,26,3.690924424,-39.16726544,127.3477783,28,26,3.690924424,-39.16726544
425.8828735,29,26,3.686625047,-39.16726339,127.3357239,29,26,3.686625047,-39.16726339
426.3464355,30,26,3.682325672,-39.16726117,127.362915,30,26,3.682325672,-39.16726117
424.9759521,1,25,3.807010619,-39.17059451,127.2880936,1,25,3.807010619,-39.17059451
423.9981689,2,25,3.802711039,-39.17059672,127.3235321,2,25,3.802711039,-39.17059672
424.5180969,3,25,3.798411458,-39.17059877,127.251091,3,25,3.798411458,-39.17059877
424.7148743,4,25,3.794111877,-39.17060067,127.2334976,4,25,3.794111877,-39.17060067
425.2064819,5,25,3.789812296,-39.1706024,127.2894516,5,25,3.789812296,-39.1706024
424.9003906,6,25,3.785512713,-39.17060398,127.1867599,6,25,3.785512713,-39.17060398
424.821228,7,25,3.781213131,-39.17060541,127.2380295,7,25,3.781213131,-39.17060541
424.2717896,8,25,3.776913548,-39.17060667,127.2387848,8,25,3.776913548,-39.17060667
424.9816284,9,25,3.772613964,-39.17060778,127.2396469,9,25,3.772613964,-39.17060778
425.5444031,10,25,3.768314381,-39.17060872,127.2943878,10,25,3.768314381,-39.17060872
424.5919495,11,25,3.764014797,-39.17060951,127.2835617,11,25,3.764014797,-39.17060951
426.0725098,12,25,3.759715212,-39.17061015,127.4385834,12,25,3.759715212,-39.17061015
425.7410278,13,25,3.755415628,-39.17061062,127.4030914,13,25,3.755415628,-39.17061062
426.0037231,14,25,3.751116044,-39.17061094,127.3795166,14,25,3.751116044,-39.17061094
425.6584473,15,25,3.746816459,-39.17061109,127.3492661,15,25,3.746816459,-39.17061109
426.3360901,16,25,3.742516874,-39.17061109,127.3572388,16,25,3.742516874,-39.17061109
426.1777954,17,25,3.73821729,-39.17061094,127.3426056,17,25,3.73821729,-39.17061094
425.6887817,18,25,3.733917705,-39.17061062,127.4163513,18,25,3.733917705,-39.17061062
426.5622559,19,25,3.729618121,-39.17061015,127.3041382,19,25,3.729618121,-39.17061015
425.6079407,20,25,3.725318537,-39.17060951,127.4022522,20,25,3.725318537,-39.17060951
426.1925049,21,25,3.721018953,-39.17060872,127.4034958,21,25,3.721018953,-39.17060872
427.1222534,22,25,3.716719369,-39.17060778,127.4788208,22,25,3.716719369,-39.17060778
426.4566956,23,25,3.712419786,-39.17060667,127.4093246,23,25,3.712419786,-39.17060667
426.7914124,24,25,3.708120203,-39.17060541,127.379631,24,25,3.708120203,-39.17060541
426.6767578,25,25,3.70382062,-39.17060398,127.4163742,25,25,3.70382062,-39.17060398
426.8056335,26,25,3.699521038,-39.1706024,127.388649,26,25,3.699521038,-39.1706024
427.328064,27,25,3.695221456,-39.17060067,127.4706421,27,25,3.695221456,-39.17060067
426.618042,28,25,3.690921875,-39.17059877,127.4745255,28,25,3.690921875,-39.17059877
427.7043152,29,25,3.686622294,-39.17059672,127.4234467,29,25,3.686622294,-39.17059672
428.8612976,30,25,3.682322715,-39.17059451,127.4929047,30,25,3.682322715,-39.17059451
424.9594421,1,24,3.807013576,-39.17392784,127.2917862,1,24,3.807013576,-39.17392784
424.6463013,2,24,3.802713792,-39.17393005,127.2948608,2,24,3.802713792,-39.17393005
425.2051086,3,24,3.798414008,-39.1739321,127.3129272,3,24,3.798414008,-39.1739321
425.4945374,4,24,3.794114223,-39.173934,127.223175,4,24,3.794114223,-39.173934
425.2446289,5,24,3.789814437,-39.17393574,127.2344742,5,24,3.789814437,-39.17393574
425.2848816,6,24,3.785514651,-39.17393732,127.2358398,6,24,3.785514651,-39.17393732
424.9000244,7,24,3.781214864,-39.17393874,127.1906815,7,24,3.781214864,-39.17393874
